-183.738, 79.457, 0.727,  1.765
-183.736, 79.433, 0.728,  1.798
-183.734, 79.409, 0.734,  1.831
-183.731, 79.384, 0.739,  1.864
-183.729, 79.360, 0.735,  1.897
-183.727, 79.335, 0.746,  1.930
-183.725, 79.310, 0.750,  1.963
-183.722, 79.285, 0.763,  1.996
-183.720, 79.259, 0.760,  2.029
-183.717, 79.234, 0.758,  2.062
-183.715, 79.209, 0.773,  2.095
-183.712, 79.183, 0.781,  2.128
-183.710, 79.157, 0.786,  2.161
-183.708, 79.131, 0.784,  2.194
-183.705, 79.105, 0.785,  2.227
-183.703, 79.079, 0.786,  2.260
-183.700, 79.052, 0.789,  2.293
-183.697, 79.026, 0.793,  2.326
-183.695, 79.000, 0.797,  2.359
-183.692, 78.973, 0.802,  2.392
-183.690, 78.946, 0.807,  2.425
-183.687, 78.919, 0.813,  2.458
-183.684, 78.892, 0.819,  2.491
-183.682, 78.865, 0.826,  2.524
-183.679, 78.837, 0.832,  2.557
-183.676, 78.809, 0.839,  2.590
-183.673, 78.781, 0.845,  2.623
-183.671, 78.753, 0.852,  2.656
-183.668, 78.725, 0.859,  2.689
-183.665, 78.696, 0.866,  2.722
-183.662, 78.667, 0.873,  2.755
-183.659, 78.638, 0.880,  2.788
-183.656, 78.608, 0.887,  2.821
-183.653, 78.579, 0.893,  2.854
-183.650, 78.549, 0.903,  2.887
-183.647, 78.519, 0.910,  2.920
-183.644, 78.488, 0.918,  2.953
-183.641, 78.458, 0.925,  2.986
-183.638, 78.427, 0.932,  3.019
-183.635, 78.396, 0.939,  3.052
-183.631, 78.364, 0.947,  3.085
-183.628, 78.333, 0.954,  3.118
-183.625, 78.301, 0.961,  3.151
-183.622, 78.269, 0.968,  3.184
-183.618, 78.237, 0.975,  3.217
-183.615, 78.204, 0.981,  3.250
-183.611, 78.172, 0.987,  3.283
-183.608, 78.139, 0.993,  3.316
-183.605, 78.106, 0.998,  3.349
-183.601, 78.072, 1.004,  3.382
-183.598, 78.039, 1.009,  3.415
-183.594, 78.005, 1.015,  3.448
-183.591, 77.972, 1.020,  3.481
-183.587, 77.938, 1.025,  3.514
-183.584, 77.903, 1.031,  3.547
-183.580, 77.869, 1.036,  3.580
-183.576, 77.835, 1.041,  3.613
-183.573, 77.800, 1.046,  3.646
-183.569, 77.765, 1.052,  3.679
-183.565, 77.730, 1.057,  3.712
-183.562, 77.695, 1.062,  3.745
-183.558, 77.660, 1.068,  3.778
-183.554, 77.624, 1.073,  3.811
-183.550, 77.588, 1.078,  3.844
-183.547, 77.553, 1.084,  3.877
-183.543, 77.516, 1.089,  3.910
-183.539, 77.480, 1.095,  3.943
-183.535, 77.444, 1.101,  3.976
-183.531, 77.407, 1.106,  4.009
-183.527, 77.370, 1.112,  4.042
-183.523, 77.333, 1.118,  4.075
-183.520, 77.296, 1.123,  4.108
-183.516, 77.259, 1.129,  4.141
-183.512, 77.221, 1.135,  4.174
-183.508, 77.183, 1.140,  4.207
-183.504, 77.145, 1.146,  4.240
-183.500, 77.107, 1.152,  4.273
-183.495, 77.069, 1.158,  4.306
-183.491, 77.030, 1.163,  4.339
-183.487, 76.992, 1.169,  4.372
-183.483, 76.953, 1.175,  4.405
-183.479, 76.914, 1.181,  4.438
-183.475, 76.874, 1.187,  4.471
-183.471, 76.835, 1.192,  4.504
-183.467, 76.795, 1.198,  4.537
-183.462, 76.755, 1.204,  4.570
-183.458, 76.715, 1.210,  4.603
-183.454, 76.675, 1.215,  4.636
-183.450, 76.635, 1.221,  4.669
-183.445, 76.594, 1.227,  4.702
-183.441, 76.553, 1.232,  4.735
-183.437, 76.512, 1.238,  4.768
-183.433, 76.471, 1.244,  4.801
-183.428, 76.430, 1.250,  4.834
-183.424, 76.388, 1.255,  4.867
-183.419, 76.346, 1.261,  4.900
-183.415, 76.304, 1.267,  4.933
-183.411, 76.262, 1.273,  4.966
-183.406, 76.220, 1.278,  4.999
-183.402, 76.177, 1.284,  5.032
-183.397, 76.135, 1.290,  5.065
-183.393, 76.092, 1.296,  5.098
-183.389, 76.049, 1.302,  5.131
-183.384, 76.005, 1.307,  5.164
-183.380, 75.962, 1.313,  5.197
-183.375, 75.918, 1.319,  5.230
-183.371, 75.874, 1.325,  5.263
-183.366, 75.830, 1.331,  5.296
-183.362, 75.786, 1.336,  5.329
-183.357, 75.742, 1.342,  5.362
-183.352, 75.697, 1.348,  5.395
-183.348, 75.652, 1.354,  5.428
-183.343, 75.607, 1.360,  5.461
-183.339, 75.562, 1.366,  5.494
-183.334, 75.516, 1.371,  5.527
-183.329, 75.471, 1.377,  5.560
-183.325, 75.425, 1.383,  5.593
-183.320, 75.379, 1.389,  5.626
-183.316, 75.333, 1.395,  5.659
-183.311, 75.286, 1.401,  5.692
-183.306, 75.240, 1.407,  5.725
-183.302, 75.193, 1.413,  5.758
-183.297, 75.146, 1.419,  5.791
-183.292, 75.099, 1.425,  5.824
-183.288, 75.051, 1.431,  5.857
-183.283, 75.004, 1.436,  5.890
-183.278, 74.956, 1.442,  5.923
-183.274, 74.908, 1.448,  5.956
-183.269, 74.860, 1.454,  5.989
-183.264, 74.811, 1.460,  6.022
-183.259, 74.763, 1.466,  6.055
-183.255, 74.714, 1.472,  6.088
-183.250, 74.665, 1.478,  6.121
-183.245, 74.616, 1.484,  6.154
-183.241, 74.566, 1.490,  6.187
-183.236, 74.517, 1.496,  6.220
-183.231, 74.467, 1.502,  6.253
-183.226, 74.417, 1.508,  6.286
-183.222, 74.367, 1.514,  6.319
-183.217, 74.316, 1.520,  6.352
-183.212, 74.266, 1.527,  6.385
-183.207, 74.215, 1.533,  6.418
-183.203, 74.164, 1.539,  6.451
-183.198, 74.112, 1.545,  6.484
-183.193, 74.061, 1.551,  6.517
-183.188, 74.009, 1.557,  6.550
-183.184, 73.958, 1.563,  6.583
-183.179, 73.906, 1.569,  6.616
-183.174, 73.853, 1.576,  6.649
-183.169, 73.801, 1.582,  6.682
-183.164, 73.748, 1.588,  6.715
-183.160, 73.695, 1.594,  6.748
-183.155, 73.642, 1.600,  6.781
-183.150, 73.589, 1.607,  6.814
-183.145, 73.535, 1.613,  6.847
-183.141, 73.482, 1.619,  6.880
-183.136, 73.428, 1.625,  6.913
-183.131, 73.374, 1.632,  6.946
-183.126, 73.319, 1.638,  6.979
-183.122, 73.265, 1.644,  7.012
